lekid,x,y,area,per_miss,per_zero,mean_count,sd_count,min_count,max_count,len_road,mean_ppt,mean_sage,mean_herb,mean_nest
G-Cumberland 1,-1212457.721,2142636.683, G,0,46.875,31.71875,39.9210789,0,117,179667.4194,23.516483,10.506424,18.588003,0.12683
G-Cumberland 2,-1211480.249,2143093.28, G,0,96.875,0.03125,0.176776695,0,1,175459.1071,23.347826,10.060831,18.83819,0.109619
G-Dee Ranch,-1219086.085,2142673.03, G,43.75,78.125,1.888888889,3.37619502,0,10,149655.9733,24.393617,11.863378,15.492872,0.177506
G-Dee Ranch Road,-1209578.441,2144933.743, G,0,93.75,0.15625,0.723315618,0,4,186933.0363,23.096775,8.618504,18.83341,0.074585
G-Delaney Creek,-1174458.195,2221654.14, G,71.875,75,24,14.7478812,0,36,118495.7321,22.51111,9.08582,14.288585,0.128246
G-Dempsey Basin,-1205140.618,2209337.646, G,3.125,53.125,17.93548387,26.11377093,0,81,120558.2202,26.096775,12.611595,17.044893,0.201533
G-Desertion Point East,-1182029.729,2157600.221, G,56.25,71.875,15.28571429,19.89753975,0,54,69381.63257,20.56044,1.520071,4.61271,0.019312
G-Divide,-1071274.57,2228842.976, G,31.25,62.5,71.86363636,81.69822255,0,248,164609.3638,23.467391,14.395039,13.209572,0.43441
G-Dodge Rim E.,-1149286.873,2185880.422, G,34.375,81.25,1.428571429,2.481359075,0,8,120812.7316,18.056818,4.880585,7.226233,0.047151
G-Drill Hole,-1044713.331,2162955.673, G,59.375,65.625,61.38461538,55.56308496,0,166,88904.44364,17.752687,9.793737,8.176709,0.179601
G-Dripping Rock,-1054911.325,2107876.774, G,9.375,37.5,12.96551724,11.28362517,0,32,128905.4301,19.795698,10.635864,7.725473,0.135724
G-Dry Crk. 1,-1172264.447,2098529.42, G,12.5,81.25,2.178571429,4.682936491,0,17,136728.7725,27.870967,7.558223,12.726515,0.089857
G-Dry Crk. 2,-1169960.596,2100407.306, G,15.625,65.625,6.222222222,9.736265803,0,33,154919.036,27.811111,10.927498,14.111213,0.14163
G-Dry Crk. 3,-1167750.623,2101860.948, G,12.5,87.5,2.642857143,6.886456304,0,24,167501.2155,26.152173,11.154756,14.321592,0.140099
G-Dry Crk. 4,-1168098.08,2101334.47, G,12.5,65.625,9.178571429,15.46334632,0,51,163358.8324,26.602149,11.451774,14.545666,0.149561
G-Dry Hollow,-1175576.739,2214662.093, G,62.5,93.75,0.916666667,2.234373344,0,7,115523.0818,22.011236,8.771217,13.903668,0.123161
G-Dry Muddy 3,-1182116.999,2160666.275, G,34.375,90.625,2,6.25299928,0,27,77025.12519,20.813186,1.482631,4.349385,0.018934
G-Dry Sandy 1,-1085790.381,2210139.797, G,0,46.875,17.84375,22.63469985,0,84,177446.7716,20.333333,10.386654,16.046924,0.120325
G-Dry Sandy 2,-1082819.591,2212342.337, G,0,75,5.46875,16.83694933,0,90,178270.9922,20.462366,10.774497,16.190675,0.139247
G-East Fork Bullpen,-1216163.482,2181199.28, G,3.125,84.375,1.096774194,3.562347903,0,16,142238.6358,25.266666,11.818447,14.528839,0.138225
G-East Of Eden,-1093269.012,2196178.493, G,0,40.625,31.5625,33.32337889,0,86,144867.4136,19.806451,8.570837,19.625036,0.184124
G-East Willow Ck,-1189063.885,2190282.154, G,28.125,78.125,1.956521739,3.404252166,0,12,153585.9374,23.483516,11.427318,11.495053,0.13183
G-Eastside Crawford,-1235120.463,2174595.072, G,0,21.875,44.03125,37.46782222,0,123,147721.7835,23.899999,16.092996,17.046628,0.538728
G-Elk Butte,-1072519.991,2096992.009, G,3.125,56.25,9.774193548,14.81825378,0,49,125334.301,26.677419,10.415003,9.197765,0.104779
G-Emigrant Springs South,-1178691.7,2198582.125, G,34.375,84.375,1.047619048,2.01186954,0,6,108483.2585,22.033332,10.322054,13.424418,0.203417
G-Emigrant Trail 1,-1174574.132,2196464.096, G,25,50,26.875,22.88974044,0,70,120371.7757,20.576086,7.336683,13.597084,0.129833
