ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
71,0,FALSE,2016,NAD83,13,399952.7367,4914991.874,1000,11.41344547,41.64032745,23.52685547,12.82348251,17.13528824,260.0890808,271.6206833,6373.99427
72,0,FALSE,2016,NAD83,13,383572.7206,4917801.066,1000,16.96560097,42.70831299,24.81679344,12.81716061,15.07181644,292.1931458,355.5235378,200.4469653
73,0,FALSE,2016,NAD83,13,391770.745,4920920.15,1000,18.7928791,57.70124817,21.17010307,7.119467258,9.173036575,225.2592316,82.20114034,2064.339042
74,0,FALSE,2016,NAD83,13,388255.3235,4903627.862,1000,7.155868053,30.13042068,31.06967163,12.06225872,13.89078999,36.92983627,459.0653137,3992.020515
75,0,FALSE,2016,NAD83,13,391936.6986,4919977.346,1000,15.47195435,55.19016266,23.80771255,6.377374172,8.547297478,227.6686707,381.8207349,660.2652003
76,0,FALSE,2016,NAD83,13,389717.2467,4913933.408,1000,10.15809155,44.65797424,25.84134865,11.71257782,13.04601765,107.718132,704.212531,3205.138108
77,0,FALSE,2016,NAD83,13,394990.0688,4917650.549,1000,11.30511856,48.44208145,28.34318352,7.924159527,9.608997345,197.3870392,304.4764622,6583.349115
78,0,FALSE,2016,NAD83,13,384635.5682,4918070.518,1000,12.56114006,40.99076843,28.60882568,7.975091934,8.090283394,252.5181732,169.6414272,463.4835623
79,0,FALSE,2016,NAD83,13,389310.1057,4911479.503,1000,13.68945694,50.21306229,24.38064194,10.3225174,12.16061783,250.4803925,17.95866878,3885.368803
80,0,FALSE,2016,NAD83,13,389816.6683,4906961.1,1000,8.961961746,31.60833168,27.17890358,16.08273697,19.24349785,201.1372681,565.5235378,6838.841596
17062001,1,TRUE,2017,NAD83,13,389309,4921170,1,13.188797,41.89746475,26.31706429,13.13128471,15.31391811,213.1811829,268.0703432,5184.589152
17060901,1,TRUE,2017,NAD83,13,389536,4920797,1,11.51002598,40.96072388,29.06891823,11.09869957,12.74566936,116.5809097,12.59089712,3810.555867
17051201,1,TRUE,2017,NAD83,13,393627,4916701,1,9.333952904,43.35531616,26.5837822,12.35243797,14.0981226,105.6406708,208.0260001,3548.355916
17052101,1,TRUE,2017,NAD83,13,390661,4922853,1,11.10793591,36.82701111,25.49863052,16.78886032,18.94536781,166.657608,288.2030468,8788.674236
81,0,FALSE,2017,NAD83,13,390399.4737,4914056.133,1000,14.92716885,51.00265884,24.88485718,9.559976578,10.96365929,192.2307281,314.7842313,5192.839251
82,0,FALSE,2017,NAD83,13,380769.8824,4918021.766,1000,15.29178047,39.42488861,27.02143478,11.15534306,14.42720318,543.1255493,636.6788563,3377.823139
83,0,FALSE,2017,NAD83,13,380057.9899,4918052.908,1000,12.88516712,36.89897919,27.09091187,12.22658157,15.25418377,259.1083069,191.6460828,4228.241731
84,0,FALSE,2017,NAD83,13,389111.2945,4916737.609,1000,7.566258907,36.77368546,28.26260567,13.80806255,16.79444885,84.05602264,323.1589467,2298.579625
85,0,FALSE,2017,NAD83,13,380860.2152,4918945.853,1000,10.58185768,32.41191483,30.78514862,10.80829144,12.54673576,132.3247223,518.7437617,6105.198193
86,0,FALSE,2017,NAD83,13,393183.8261,4925949.216,1000,8.669194221,38.07686996,25.97055435,14.1241169,16.66221237,116.1848526,325.9328641,3784.341667
87,0,FALSE,2017,NAD83,13,383751.6653,4918562.585,1000,15.86625862,51.70916748,25.51482391,6.871267319,9.042141914,322.1639099,288.545709,2022.217501
88,0,FALSE,2017,NAD83,13,390582.2762,4926692.181,1000,10.19078732,23.77666664,32.47038269,17.86192513,21.84363937,240.4968567,784.2043579,6442.769884
89,0,FALSE,2017,NAD83,13,389131.9118,4901536.661,1000,14.43555832,49.23412323,24.55238342,9.690425873,11.62004662,172.0449524,1248.531367,7842.662109
90,0,FALSE,2017,NAD83,13,394858.5194,4899245.189,1000,4.810076714,33.11175156,31.4598999,13.07446957,15.30311584,63.04931641,1346.062095,7073.673502
91,0,FALSE,2017,NAD83,13,387972.94,4922163.687,1000,17.18326378,47.99891281,26.41832733,8.94145298,11.176054,366.6012878,228.4553228,9869.563785
92,0,FALSE,2017,NAD83,13,388321.8013,4904386.164,1000,3.844021559,37.8290863,32.53057098,10.70463753,11.55989742,57.24571228,40.50949169,1990.401666
93,0,FALSE,2017,NAD83,13,385073.4546,4919897.263,1000,7.842023373,34.49137115,33.3956871,9.910093307,11.28621387,60.73519897,655.5235378,4798.331906
94,0,FALSE,2017,NAD83,13,396797.8883,4901182.821,1000,14.8258419,52.14142227,23.72820282,8.85567379,10.63721275,207.7298126,322.435131,5245.204525
95,0,FALSE,2017,NAD83,13,384028.3357,4915417.928,1000,9.628623009,15.76448345,39.20246124,17.34157753,20.82462692,100.3772278,1269.098866,1475.293298
96,0,FALSE,2017,NAD83,13,386957.6519,4925537.292,1000,10.98178291,28.15507889,32.79662704,14.18549442,16.43143082,91.18398285,1314.317088,15384.62126
97,0,FALSE,2017,NAD83,13,387111.2746,4922550.806,1000,7.297234535,23.20636559,35.9651947,13.56348705,15.59241772,75.74375153,74.84378633,11752.04943
