"lekid","x","y","man_area","per_miss","per_zero","mean_count","sd_count","min_count","max_count","mean_rugg","length_road","count_OG","mean_ppt","sd_ppt","mean_sb","sd_sb","mean_herb","sd_herb","mean_nest","sd_nest"
"D-Soda Lake",-1121186.13016667,2297121.50150861," D",50,50,57.125,14.691834466805,32,80,0.007254,174304.278,0,28.782608,0.639736,14.347186,6.689519,25.052463,13.57218,0.240908,0.219127
"D-Sommers",-1136061.81871075,2283524.7424402," D",65.625,68.75,23.3636363636364,12.8239832132823,0,49,0.003426,185957.5108,0,24.914894,0.996371,11.321364,7.071499,19.681018,14.77019,0.168099,0.168001
"D-South Luman Ridge",-1134092.12573411,2276930.1106196," D",71.875,71.875,31.1111111111111,11.0955446513955,15,44,0.003068,156546.0584,1,23.880434,1.040927,10.705037,6.989731,20.447343,15.265854,0.186911,0.182364
"D-South Soapholes Creek",-1135780.97827773,2274367.96135985," D",71.875,81.25,7.77777777777778,8.12061847671989,0,21,0.00301,164779.0212,1,22.877777,0.841001,9.463889,7.296754,22.54923,16.488039,0.127394,0.162767
"D-Speedway",-1102897.11570047,2254252.71860374," D",37.5,37.5,66.35,37.1770656524465,5,151,0.000857,142470.3541,0,25.44086,0.64695,15.665752,3.693002,14.060499,2.627873,0.474111,0.139971
"D-Stock Driveway",-1115579.94182917,2289065.90322179," D",50,53.125,56.25,29.1878970351297,0,116,0.006326,158636.0881,0,27.622222,1.20718,11.168453,7.44286,28.681928,14.278182,0.177724,0.211038
"D-Termination Draw",-1158771.65410025,2247340.57012077," D",50,78.125,3.75,6.38226709981127,0,21,0.009085,175589.6228,137,22.021978,0.67901,9.117418,5.603603,14.523177,6.160581,0.152958,0.130579
"D-Two Buttes",-1118672.79691369,2275469.36220644," D",56.25,56.25,71.3571428571429,20.4849180650514,26,99,0.003543,200611.5668,565,24.677419,1.26288,13.802738,6.107856,16.304197,11.587391,0.36619,0.217746
"D-Upper Antelope",-1161162.62339107,2280090.99376524," D",68.75,84.375,3.1,4.67736868097628,0,14,0.00465,200759.2551,1,30.217391,0.54824,18.235666,6.806211,17.412326,12.254187,0.561603,0.282608
"D-Upper Muddy Creek Road",-1163052.13874393,2282544.13074716," D",50,81.25,1.75,2.64575131106459,0,8,0.003738,202905.9197,1,30.505495,0.521486,10.748707,10.013018,33.032928,18.810792,0.150737,0.212899
"D-Upper Onion Creek",-1149626.8591605,2292234.44709819," D",59.375,65.625,74.7692307692308,60.1500261099332,0,164,0.004785,221366.1786,0,27.677419,0.720831,15.499767,5.879916,17.791433,10.330929,0.518089,0.218059
"D-Waldo",-1135195.59154082,2296123.60122246," D",50,81.25,2.875,7.45542308211501,0,30,0.004341,209039.8329,0,27.733333,1.123486,14.065073,8.083891,20.187238,15.079207,0.248672,0.241461
"D-Warren Bridge 1",-1138757.12180456,2313231.03099747," D",50,75,6.5,9.68848113311197,0,30,0.004315,180272.0554,0,29.065933,0.3571,18.525951,7.957875,22.899013,12.696642,0.49394,0.350446
"D-Warren Bridge 2",-1138203.10265348,2319508.57100472," D",40.625,68.75,32.3157894736842,51.6645726796945,0,154,0.003806,129036.8561,0,28.559139,0.988779,19.763744,6.172999,22.516193,10.253087,0.658873,0.23107
"D-Waterhole Draw",-1101743.0625985,2247745.4584252," D",56.25,56.25,64.9285714285714,39.1436492259635,18,134,0.000888,133930.4914,0,24.61111,0.740787,15.496037,4.007065,15.334554,3.096228,0.47224,0.167382
"D-Webb Draw",-1145760.92005369,2305074.27054695," D",25,62.5,86.2916666666667,104.530203318453,0,292,0.003614,171327.7603,0,28.329669,0.612236,13.022394,9.491124,29.920089,16.331356,0.316403,0.316917
"D-Willow Creek Road",-1127214.61198367,2306792.12991347," D",50,50,51.3125,12.5630078670144,32,77,0.005194,113775.8241,0,28.527473,0.52079,13.727996,8.648491,26.944461,15.615783,0.231679,0.246913
"E-Agate Flats",-940693.942143839,2242937.91897983," E",59.375,59.375,32.6153846153846,10.9280866085091,12,49,0.002487,191753.2935,0,19.451612,0.57765,12.620884,4.040978,11.507205,4.542924,0.25309,0.114664
"E-Antelope Flats",-1023074.10211126,2218349.92477282," E",56.25,65.625,57.7142857142857,36.8686411913526,0,124,0.00279,79692.14546,0,22.612903,0.487086,13.362343,4.218004,10.158717,3.616704,0.445432,0.152499
"E-Antelope Springs",-1000528.04987216,2238167.01917385," E",15.625,50,10.1851851851852,12.3476470416184,0,50,0.004769,146814.7479,0,20.554347,0.497037,16.74587,4.535536,17.223836,4.512526,0.437938,0.231836
"E-Beulah Belle Lake",-907351.233262549,2225861.73925988," E",0,59.375,8.71875,14.5052479379684,0,57,0.002142,118340.8279,0,20.956989,0.202881,5.850149,4.163865,14.058639,4.670042,0.035357,0.022615
"E-Bill's",-941797.164500917,2216861.06810388," E",50,59.375,33.75,20.8118555956295,0,73,0.006487,193394.9678,0,18.063829,0.561315,8.094682,3.153047,8.955533,4.945436,0.052158,0.052707
"E-Black Rock",-954145.449569702,2241486.52017285," E",18.75,84.375,4.76923076923077,10.9373038443949,0,39,0.001296,105128.2835,0,18.957447,0.634385,13.581487,4.158461,12.757714,4.67126,0.386984,0.173806
"E-Black Rock Draw",-952046.402519293,2238265.13989206," E",0,21.875,23.84375,21.606613944092,0,94,0.001976,102240.9382,0,18.377777,0.549298,9.515251,4.317502,13.586043,6.156298,0.201738,0.159826
"E-Blackjack",-933834.12246415,2246109.97286333," E",71.875,71.875,159.444444444444,101.102807961885,80,350,0.002627,195387.2176,0,20.166666,0.778174,14.245902,4.193943,11.988223,4.738437,0.36149,0.159297
"E-Buffalo Creek",-957942.74664513,2233478.19654328," E",34.375,50,11.6190476190476,11.9894795152925,0,39,0.009273,104486.6091,0,17.537633,0.498581,6.732443,3.505795,15.360298,6.452901,0.047524,0.037188
"E-Carmody Lake",-996042.985122642,2239932.49435972," E",18.75,18.75,56,25.509214021604,27,124,0.004163,143193.1086,0,21.362636,0.858269,16.574258,4.343206,16.180459,4.11308,0.372309,0.203931
"E-Cedar Rim Pipeline No. 1",-983464.313125898,2248273.87088261," E",0,96.875,0.09375,0.530330085889911,0,3,0.003164,139119.9639,7,25.172042,0.756671,17.254751,3.658981,16.893379,4.688363,0.618578,0.098824
"E-Cedar Rim Pipeline No. 2",-981576.852621889,2245519.23700025," E",50,53.125,66.6875,46.386375514081,0,176,0.002544,137849.991,0,23.428571,1.864314,15.277211,4.156983,14.886566,4.65895,0.54219,0.119817
"E-Cedar Rim Windmill",-989558.004564978,2247944.8705962," E",6.25,53.125,7.36666666666667,10.5910936341728,0,32,0.006887,138807.3083,0,24.838708,0.833315,16.327074,5.17901,16.575376,4.458677,0.336975,0.210561
"E-Cottonwood Creek",-972671.506691525,2226593.66831832," E",12.5,65.625,6.85714285714286,13.5091581713057,0,49,0.001633,167279.1478,0,17.78409,0.411451,5.777582,3.123145,12.113741,6.461568,0.054023,0.044547
"E-Coyote Lake",-999382.194531326,2216825.45449938," E",0,18.75,37.03125,40.1404665699293,0,176,0.00217,107264.2845,0,18.886363,0.317369,10.467709,3.510466,8.474249,3.177527,0.279745,0.082046
"E-Crofts",-1001543.81597637,2215719.92090557," E",34.375,50,16.2857142857143,15.5149697297251,0,61,0.002225,82158.56389,0,18.956521,0.387664,10.194759,3.564668,8.573802,3.379943,0.265654,0.08116
"E-Dickie Springs",-1048778.82978183,2215397.62283651," E",71.875,71.875,34.7777777777778,37.6024526386836,1,88,0.009482,118181.7595,0,24.18085,0.635187,14.770753,4.158832,9.584333,4.584914,0.376314,0.1527
"E-Dickie Springs Creek",-1043937.69834795,2219140.0106747," E",0,21.875,62.875,73.6980544234816,0,305,0.0033,123671.4474,0,23.695652,0.46013,14.294739,3.884747,11.135872,4.781928,0.448517,0.128482
"E-Dishpan Butte",-993360.943951864,2246782.42762536," E",28.125,34.375,18.0434782608696,15.8328721935482,0,57,0.009063,148261.4358,0,23.539325,1.390628,15.167333,5.398848,16.201072,4.707298,0.266012,0.19302
"E-Dry Draw",-937228.171405199,2218535.26329941," E",56.25,62.5,18.1428571428571,11.8442270446709,0,39,0.008883,152676.0628,0,17.943181,0.348958,7.614712,3.375932,10.643712,5.668637,0.037691,0.030569
"E-Dry Lakes",-952166.727641896,2245649.72093289," E",0,9.375,26.96875,22.1803231236826,0,87,0.001896,178371.8831,0,19.263736,0.551425,15.237828,3.838964,13.256307,3.707286,0.408281,0.142898
"E-East Long Creek No. 1",-965157.444663228,2246537.34483061," E",21.875,28.125,26.72,25.1702867153581,0,93,0.003605,155964.4167,0,19.5,1.108477,17.845815,3.660823,17.886528,4.982671,0.647629,0.144635
"E-East Long Creek No. 2",-968509.242387623,2248225.01789892," E",21.875,28.125,44.12,28.2759025791692,0,120,0.003461,164693.8744,0,19.252746,0.566334,17.9288,3.988933,19.191576,5.293677,0.635163,0.169927
"E-East Long Creek No. 3",-971056.971007952,2244830.44295805," E",0,6.25,18.75,12.3000131130274,0,52,0.007306,128540.0288,0,18.833333,0.372677,15.116017,4.607754,18.319433,5.757244,0.401603,0.171601
"E-Fish Creek",-1046297.26772392,2225774.01171355," E",0,9.375,44.84375,45.0827979317482,0,165,0.002506,173667.0322,0,23.911111,0.508689,14.734327,3.005686,12.34847,5.145665,0.359016,0.152041
"E-Government Meadows",-989790.374493196,2242173.2117786," E",0,59.375,12.71875,24.2543436415804,0,100,0.002187,143552.4419,2,23.1,1.414606,15.467462,4.359825,14.825648,4.056572,0.351254,0.164813
"E-Grassy Lake",-1006474.76904509,2205582.12016591," E",0,31.25,28.9375,36.7036409374399,0,148,0.0011,142009.4499,1,20.24719,0.431378,10.552264,3.989094,9.056924,2.997778,0.195235,0.069878
"E-Ice Slough",-980240.960251861,2229094.11552674," E",0,68.75,3.4375,6.19540672725601,0,21,0.001048,91605.6826,0,18,0,7.524785,3.214178,12.045786,4.679667,0.092496,0.05648
"E-Long Creek No. 1",-974956.252529255,2252364.9444051," E",53.125,71.875,13.1333333333333,16.948942936557,0,53,0.006618,127592.1796,0,20.619565,0.953738,17.210489,4.37156,18.876523,5.615942,0.582804,0.178225
"E-Long Creek No. 2",-976474.439300647,2250391.79666034," E",34.375,87.5,1.14285714285714,3.02135258263107,0,12,0.005807,113032.5997,0,21.233333,1.374772,16.709934,4.705142,19.158172,5.799815,0.583588,0.178675
